,zone_id,year,month,day,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
0,A,2004,1,1,5058.52,4885.93,4833.33,4928.89,5168.15,5429.63,5774.07,6150.37,6807.41,7048.89,6973.33,6603.7,6161.48,5505.19,5080.0,4914.81,5348.15,6413.33,6799.26,6744.44,6497.04,6090.37,5411.11,4693.33
1,A,2004,1,2,4372.59,4205.93,4236.3,4248.15,4415.56,4800.0,5236.3,5713.33,6000.0,6031.85,5924.44,5665.19,5271.11,5038.52,4930.37,4625.93,4901.48,6068.89,6454.07,6378.52,6208.89,5817.04,5303.7,4684.44
2,A,2004,1,3,4185.19,3965.19,3916.3,3885.93,3938.52,4148.89,4514.81,5160.0,5854.07,5882.22,5715.56,5300.0,4894.07,4533.33,4197.78,4130.37,4547.41,5337.78,5689.63,5456.3,5139.26,4737.04,4222.22,3644.44
3,A,2004,1,4,3077.78,2840.74,2738.52,2713.33,2690.37,2825.93,3081.48,3722.96,4591.85,5074.81,4875.56,4668.15,4524.44,4377.04,4259.26,4325.93,4753.33,5637.04,5959.26,5702.96,5366.67,4640.74,3956.3,3361.48
4,A,2004,1,5,3023.7,2901.48,2965.93,3174.81,3525.93,4237.04,5343.7,5331.85,5034.07,5060.74,5107.41,4997.04,4972.59,4857.04,4802.96,4885.93,5455.56,6297.78,6705.93,6705.93,6446.67,5920.0,5206.67,4678.52
5,A,2004,1,6,4283.7,4171.85,4242.22,4406.67,4808.89,5685.19,6740.74,6660.74,5778.52,5948.89,5903.7,5693.33,5668.89,5208.15,5220.0,5343.7,6288.15,7882.96,8722.22,8834.81,8661.48,8030.37,7314.07,6752.59
6,A,2004,1,7,6549.63,6533.33,6680.0,6982.22,7561.48,8479.26,9591.11,9505.19,8349.63,7876.3,7176.3,6600.74,6413.33,6078.52,5802.96,5959.26,6772.59,8107.41,8388.15,8612.59,9217.04,8514.07,7618.52,6982.22
7,A,2004,1,8,6853.33,7001.48,7268.15,7563.7,8253.33,9179.26,10128.89,9627.41,9142.22,8814.07,7515.56,7079.26,6745.93,6568.15,6478.52,6594.07,7259.26,8065.19,8515.56,8464.44,8117.78,7320.0,6545.19,5802.96
8,A,2004,1,9,5407.41,5372.59,5409.63,5743.7,6198.52,6957.78,7462.96,7643.7,7509.63,7477.04,7400.0,7274.07,7130.37,6728.15,6694.07,6738.52,7151.85,8237.78,8660.0,8654.07,8466.67,8314.81,7860.74,7628.89
9,A,2004,1,10,7547.41,7665.93,7951.85,8308.89,8611.11,9065.19,9637.04,10485.93,10534.81,9938.52,10447.41,9558.52,8730.37,8272.59,7988.15,7880.0,8371.11,9584.44,9787.41,9866.67,10704.44,10400.74,9814.07,9403.7
