station_id,year,month,day,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
5,2004,1,1,42,42,40,39,40,41,38,33,36,43,47,50,51,51,52,51,50,47,39,39,34,33,31,33
5,2004,1,2,36,36,40,42,42,43,45,44,43,42,44,44,45,47,48,49,49,46,42,42,42,41,42,39
5,2004,1,3,41,41,43,43,45,45,46,45,45,49,52,57,62,65,67,67,63,61,58,56,58,60,59,59
5,2004,1,4,58,57,58,58,59,59,58,58,57,59,62,63,66,65,65,65,64,56,51,49,48,48,47,46
5,2004,1,5,46,45,44,44,44,44,44,44,44,44,45,46,46,46,47,47,48,47,46,46,46,45,44,43
5,2004,1,6,42,41,40,39,37,36,35,34,35,37,39,40,41,40,41,41,40,38,35,33,31,28,27,26
5,2004,1,7,24,24,23,22,22,22,20,20,20,22,23,24,25,27,27,28,28,28,26,26,25,24,24,23
5,2004,1,8,23,24,23,24,24,25,26,25,25,28,30,32,31,32,33,33,32,31,31,31,30,30,30,30
5,2004,1,9,31,31,31,31,31,31,29,29,28,28,30,31,31,31,31,29,28,26,24,23,20,20,18,17
5,2004,1,10,15,14,12,11,10,10,8,8,8,9,10,12,14,15,16,17,17,16,15,13,13,13,12,12
5,2004,1,11,12,11,11,10,10,10,9,9,9,14,18,20,24,25,27,27,27,26,26,24,26,26,28,29
5,2004,1,12,30,30,30,31,31,31,31,31,29,33,37,41,44,46,49,49,46,46,44,45,45,45,44,44
5,2004,1,13,42,42,40,35,35,36,31,32,33,40,42,44,49,50,50,48,47,44,42,41,38,35,34,33
5,2004,1,14,30,29,27,25,24,23,21,21,20,23,24,24,25,26,28,27,25,24,26,26,28,29,30,32
5,2004,1,15,33,35,36,35,33,31,26,23,20,19,19,20,22,24,26,26,26,24,23,22,22,21,21,20
5,2004,1,16,17,15,13,13,13,13,13,13,15,17,19,22,24,26,27,28,27,26,26,25,24,24,23,22
5,2004,1,17,22,22,22,22,21,20,20,20,20,22,26,29,31,33,35,35,34,33,32,31,31,31,29,29
5,2004,1,18,29,30,31,32,33,33,34,35,36,36,37,38,38,38,39,38,38,37,35,34,34,34,33,32
5,2004,1,19,30,28,26,25,24,24,24,24,25,26,27,28,29,29,29,29,28,27,26,26,26,25,24,23
5,2004,1,20,22,22,22,21,21,22,22,22,23,25,27,28,28,29,29,29,29,27,26,26,25,24,23,23
5,2004,1,21,22,22,21,20,20,19,19,18,19,21,24,26,27,29,30,30,27,27,26,24,24,21,20,18
5,2004,1,22,19,20,20,23,25,28,27,28,29,32,34,37,40,43,44,43,42,41,39,38,37,35,32,29
5,2004,1,23,25,22,20,18,17,17,16,17,17,19,20,20,20,20,20,21,21,20,20,19,17,15,17,18
5,2004,1,24,17,18,17,17,17,17,18,18,17,19,20,20,20,20,21,22,22,22,20,19,17,17,18,17
5,2004,1,25,17,16,15,13,13,11,11,11,11,13,15,17,18,19,19,20,20,19,19,19,20,20,20,20
5,2004,1,26,18,18,18,19,18,19,19,20,20,20,22,25,27,27,29,29,29,30,31,31,31,31,31,31
5,2004,1,27,30,30,31,31,31,33,32,33,33,34,34,35,35,35,35,35,35,35,35,36,36,33,29,27
5,2004,1,28,26,26,27,27,28,26,26,26,26,26,28,28,28,28,29,29,28,28,26,26,26,25,25,25
5,2004,1,29,25,23,23,20,20,22,19,22,24,28,31,33,35,35,36,36,36,35,32,29,29,28,27,27
5,2004,1,30,27,27,27,26,25,24,23,22,21,21,21,22,24,26,27,28,27,26,24,23,22,20,19,19
5,2004,1,31,17,17,17,16,15,15,15,15,15,17,18,19,20,22,23,24,24,23,22,22,20,20,20,18
5,2004,2,1,19,19,17,17,17,17,17,17,17,18,21,24,27,29,30,32,33,31,29,28,26,23,21,19
5,2004,2,2,20,18,18,17,15,15,15,17,15,19,27,35,36,38,38,38,37,33,31,30,31,30,29,29
5,2004,2,3,28,26,28,29,29,32,36,39,41,42,43,43,45,45,47,47,47,43,40,38,37,37,36,35
5,2004,2,4,35,35,35,34,35,35,35,33,33,36,39,40,41,42,42,42,42,40,38,36,34,33,32,31
5,2004,2,5,31,31,31,30,29,29,29,29,30,33,34,35,35,35,35,35,35,34,33,32,32,32,33,33
5,2004,2,6,33,34,34,35,36,38,39,42,43,44,46,52,53,41,41,41,40,40,40,42,42,40,42,43
5,2004,2,7,43,42,38,38,38,38,37,38,38,41,45,46,46,46,46,44,44,42,39,37,36,36,35,35
5,2004,2,8,33,31,31,30,30,29,28,28,28,29,29,31,31,33,34,35,34,33,31,29,28,26,25,24
5,2004,2,9,24,24,23,25,25,28,28,28,31,35,39,42,46,47,47,46,46,45,44,43,43,43,43,43
5,2004,2,10,43,42,42,40,39,40,39,38,38,41,43,46,47,50,51,51,51,49,44,42,40,41,40,41
5,2004,2,11,42,41,41,39,37,36,35,36,36,37,38,40,41,42,42,42,42,40,38,34,32,31,30,29
5,2004,2,12,31,31,30,31,31,31,30,30,31,33,34,35,37,40,42,40,40,40,38,36,35,33,34,31
5,2004,2,13,33,33,33,33,33,33,32,32,33,37,40,42,42,44,45,46,46,45,41,38,35,32,31,30
5,2004,2,14,33,33,32,34,30,29,28,30,33,37,40,44,47,48,50,49,49,48,46,42,39,37,36,35
5,2004,2,15,32,31,29,29,32,31,31,30,32,36,37,37,37,36,35,35,34,32,31,29,28,28,27,26
5,2004,2,16,26,25,24,23,22,21,20,20,22,23,25,28,28,30,31,33,32,32,28,29,26,23,24,23
5,2004,2,17,22,20,20,19,20,19,25,23,27,29,33,35,37,37,37,37,35,34,34,33,33,33,33,33
5,2004,2,18,33,33,32,31,31,31,30,29,29,31,33,35,37,40,42,44,44,42,39,37,36,34,34,33
5,2004,2,19,31,31,32,33,33,34,34,34,37,42,44,49,51,53,54,55,55,53,49,40,41,36,35,31
5,2004,2,20,31,31,30,32,36,36,35,35,37,42,46,46,49,51,51,50,49,48,45,45,46,47,48,52
5,2004,2,21,51,52,54,52,53,52,53,53,52,52,52,54,56,55,56,55,54,49,46,46,44,44,44,42
5,2004,2,22,42,40,40,39,39,39,39,37,38,40,42,43,45,47,47,48,47,46,43,42,40,38,36,36
5,2004,2,23,34,33,33,33,31,31,30,29,33,37,39,42,43,46,47,47,46,44,40,39,37,37,36,36
5,2004,2,24,36,36,36,37,36,35,35,33,35,40,44,46,47,46,45,46,45,42,38,37,37,37,37,35
5,2004,2,25,35,33,32,30,29,28,27,27,29,31,33,36,38,41,42,44,44,42,39,37,34,31,32,31
5,2004,2,26,29,29,29,28,27,29,28,29,31,35,36,37,39,40,40,40,39,38,35,35,34,33,33,31
5,2004,2,27,32,33,35,34,35,35,33,33,33,37,37,38,40,42,44,45,46,44,37,35,32,31,29,30
5,2004,2,28,34,32,32,32,31,29,28,28,33,38,42,47,49,52,54,56,56,54,51,46,45,44,40,38
5,2004,2,29,38,35,37,35,33,31,31,28,38,47,53,58,62,62,64,63,64,63,58,52,51,44,42,40
5,2004,3,1,39,39,37,35,35,35,33,32,38,47,53,58,62,62,61,60,62,61,56,53,49,51,50,53
5,2004,3,2,53,53,54,57,60,59,58,57,55,56,58,60,62,65,67,67,67,66,65,62,60,58,58,56
5,2004,3,3,55,51,50,51,49,48,47,45,49,54,57,59,61,62,62,63,63,62,58,54,50,50,51,49
5,2004,3,4,51,50,51,51,51,50,48,48,48,49,50,52,55,58,59,57,58,57,53,51,50,48,47,46
5,2004,3,5,46,46,46,46,45,46,46,45,45,46,49,55,62,66,72,74,72,70,67,66,71,71,71,70
5,2004,3,6,70,69,68,67,67,67,63,63,61,61,61,62,63,64,65,65,64,65,61,58,57,56,54,51
5,2004,3,7,50,49,47,46,45,42,40,40,45,49,51,53,54,56,56,56,55,51,49,47,47,46,44,43
5,2004,3,8,42,42,42,42,41,41,42,42,42,44,45,45,46,47,47,46,46,44,44,42,38,38,40,39
5,2004,3,9,38,38,38,37,36,35,34,33,37,40,40,43,44,46,46,47,45,43,40,38,37,35,33,32
5,2004,3,10,32,33,35,36,38,38,38,38,40,40,41,42,42,42,41,41,42,43,42,41,40,40,40,38
5,2004,3,11,39,39,37,37,36,35,35,35,38,42,45,48,51,52,53,53,54,53,48,46,47,46,44,44
5,2004,3,12,44,44,43,43,41,40,42,44,47,49,49,49,47,46,48,48,47,47,45,43,41,39,38,37
5,2004,3,13,35,35,34,33,33,32,31,31,34,36,38,41,42,44,44,46,47,47,45,42,36,37,35,32
5,2004,3,14,31,30,30,28,28,29,29,32,35,38,43,46,49,47,49,52,51,51,48,46,45,45,47,49
5,2004,3,15,50,52,55,57,55,53,50,50,52,54,56,58,60,61,62,62,62,61,59,53,49,45,45,44
5,2004,3,16,42,42,42,44,44,44,41,40,39,38,38,39,39,39,39,39,39,39,38,39,39,38,38,38
5,2004,3,17,38,38,38,37,36,36,35,35,35,36,37,38,40,40,41,39,37,37,37,37,37,37,36,36
5,2004,3,18,35,34,34,34,34,33,33,33,34,35,39,41,42,45,45,45,45,45,43,40,41,41,42,42
5,2004,3,19,43,44,44,44,44,45,45,43,40,36,37,40,42,42,44,44,45,45,44,42,39,36,35,33
5,2004,3,20,31,31,29,29,29,28,27,29,37,42,46,49,51,53,55,54,54,54,51,48,47,49,50,53
5,2004,3,21,56,56,57,59,56,55,54,51,53,55,53,52,52,51,50,52,49,48,46,43,42,40,38,37
5,2004,3,22,36,34,33,32,31,31,30,31,33,33,35,37,38,43,43,43,43,42,41,38,33,34,31,32
5,2004,3,23,32,31,30,28,28,28,26,28,34,39,41,43,44,47,47,48,48,48,46,40,40,38,37,35
5,2004,3,24,35,35,33,33,34,32,35,38,45,50,56,59,61,62,62,62,61,60,56,54,51,51,51,51
5,2004,3,25,51,51,50,49,48,47,47,48,50,52,56,61,65,69,68,69,68,68,64,61,59,58,58,57
5,2004,3,26,56,56,56,57,57,58,58,58,62,65,68,70,74,76,76,74,74,74,71,67,64,63,61,60
5,2004,3,27,58,58,58,58,59,61,61,60,60,62,64,65,65,72,72,72,70,70,68,68,67,65,66,64
5,2004,3,28,64,61,51,49,48,47,47,48,48,49,51,53,54,53,51,53,54,49,46,45,45,45,45,44
5,2004,3,29,44,44,43,42,42,42,41,40,40,41,42,43,44,45,46,45,45,43,41,40,40,40,39,40
5,2004,3,30,39,40,40,40,40,40,40,40,41,41,42,44,44,45,44,44,44,44,43,43,43,42,42,42
5,2004,3,31,42,42,42,42,42,42,42,42,44,44,46,47,47,48,49,49,49,49,49,47,47,47,46,47
5,2004,4,1,47,47,47,47,46,47,48,48,49,50,52,53,54,56,55,50,49,50,50,49,49,49,49,49
5,2004,4,2,49,49,48,48,48,47,47,47,47,49,49,50,50,50,49,48,47,47,46,46,45,45,46,45
5,2004,4,3,46,46,45,45,46,45,45,45,45,45,46,46,48,51,61,58,57,56,55,54,53,52,52,51
5,2004,4,4,49,46,49,49,51,49,48,49,45,48,48,42,43,47,48,48,47,46,45,44,43,42,40,40
5,2004,4,5,39,38,37,35,35,34,34,34,35,37,40,43,45,46,49,49,48,48,46,45,43,42,41,40
5,2004,4,6,40,39,37,37,35,35,33,36,40,42,45,48,51,53,56,57,61,60,59,54,53,52,49,49
5,2004,4,7,48,50,48,48,48,49,47,51,56,64,68,67,69,69,71,73,73,72,71,67,63,59,56,56
5,2004,4,8,52,49,47,44,42,40,41,44,48,48,48,49,49,48,48,48,48,48,46,45,45,45,44,45
5,2004,4,9,44,44,44,44,44,44,45,46,48,50,53,54,59,61,62,62,64,64,62,58,57,53,49,49
5,2004,4,10,47,48,46,43,42,39,41,44,51,56,56,58,58,59,61,61,58,56,54,51,51,50,49,49
5,2004,4,11,49,47,47,47,48,48,49,50,49,49,48,48,46,45,44,43,42,42,42,43,44,44,44,44
5,2004,4,12,45,45,45,45,44,45,45,45,46,46,46,45,45,45,44,44,44,44,44,44,44,45,45,46
5,2004,4,13,47,46,47,48,47,47,46,46,47,47,51,54,62,63,64,65,65,64,65,61,63,64,62,58
5,2004,4,14,55,53,52,52,51,51,51,51,51,51,52,53,54,54,55,54,53,51,50,49,49,47,47,46
5,2004,4,15,46,45,44,44,45,44,44,45,46,50,52,56,57,58,60,61,61,60,53,49,45,45,43,47
5,2004,4,16,46,44,43,41,39,39,38,43,49,51,52,54,56,58,60,61,62,58,55,49,47,47,45,43
5,2004,4,17,42,42,42,43,44,45,45,49,55,62,66,72,74,76,78,78,78,77,73,71,66,64,63,63
5,2004,4,18,62,63,64,63,63,61,61,64,67,73,76,80,83,84,84,82,82,79,78,72,68,64,65,65
5,2004,4,19,65,65,66,67,65,65,65,68,69,73,74,78,80,82,83,82,83,82,80,78,77,76,75,75
5,2004,4,20,73,71,68,67,67,67,64,69,73,75,75,76,77,77,76,74,67,62,58,55,55,55,55,54
5,2004,4,21,55,55,55,55,55,53,54,55,58,60,60,58,58,60,59,61,59,60,60,59,59,62,63,64
5,2004,4,22,66,65,67,67,67,65,64,65,69,72,74,78,78,80,81,81,81,80,78,72,70,69,68,68
5,2004,4,23,67,68,68,67,67,67,66,67,69,73,76,79,81,81,81,72,63,59,55,52,51,50,50,49
5,2004,4,24,49,50,50,51,51,51,51,53,55,61,65,67,68,70,71,71,71,71,69,65,58,58,55,53
5,2004,4,25,54,53,50,49,48,46,49,54,56,58,58,57,55,55,55,55,55,54,54,54,54,54,54,55
5,2004,4,26,58,60,63,64,63,63,63,67,70,72,75,75,77,72,67,65,62,60,58,57,57,56,57,56
5,2004,4,27,56,55,54,55,55,55,55,55,59,62,64,65,64,67,65,65,65,62,53,52,51,50,50,49
5,2004,4,28,47,46,44,43,42,41,41,42,44,46,48,51,52,54,56,57,58,58,58,55,51,47,47,46
5,2004,4,29,46,47,47,46,47,48,49,54,60,64,67,70,72,73,74,74,74,72,67,63,60,59,58,56
5,2004,4,30,56,56,55,54,54,54,56,59,64,69,71,73,76,76,76,74,74,72,69,65,63,61,60,60
5,2004,5,1,60,60,60,60,60,61,62,64,67,70,75,76,78,78,79,77,76,74,72,71,69,68,67,67
5,2004,5,2,67,67,68,68,67,65,65,65,67,69,72,75,76,78,80,80,79,78,76,73,72,74,74,71
5,2004,5,3,69,67,64,62,60,55,53,52,52,51,51,51,51,51,51,51,50,51,51,49,49,48,48,47
5,2004,5,4,46,45,45,45,45,44,45,47,49,50,52,54,56,56,58,58,59,59,58,53,49,49,48,47
5,2004,5,5,47,45,45,47,47,49,51,53,54,60,65,67,69,70,71,72,71,70,67,65,56,56,56,53
5,2004,5,6,52,53,56,53,52,52,51,55,58,60,62,65,67,69,71,72,73,71,71,61,58,56,55,55
5,2004,5,7,54,55,55,55,55,55,58,62,67,69,74,79,81,82,83,84,77,76,76,74,73,73,67,67
5,2004,5,8,67,65,63,60,59,58,57,57,57,59,58,60,59,58,58,57,58,56,54,52,50,49,49,49
5,2004,5,9,50,51,52,53,54,53,54,56,59,63,69,71,75,79,80,79,78,78,74,72,68,67,67,66
5,2004,5,10,65,66,64,64,64,62,63,65,68,71,74,78,80,82,84,84,84,83,82,77,75,73,72,72
5,2004,5,11,73,72,71,70,69,69,69,71,74,76,80,82,84,86,86,86,85,84,80,78,74,74,72,70
5,2004,5,12,69,70,69,69,68,67,69,72,76,78,82,83,85,85,86,86,85,83,82,78,75,72,71,69
5,2004,5,13,69,69,68,68,69,67,68,72,74,78,82,83,85,85,85,86,85,84,82,78,75,73,71,70
5,2004,5,14,69,67,67,67,67,67,69,74,77,80,83,85,85,87,87,87,85,85,82,79,76,74,72,71
5,2004,5,15,69,68,68,68,68,68,69,73,76,80,82,84,85,85,86,86,86,85,83,80,77,74,71,72
